questions,answers
What do funeral home workers need to know about handling decedents who had COVID-19?,"A funeral or visitation service can be held for a person who has died of COVID-19. Funeral home workers should follow their routine infection prevention and control precautions when handling a decedent who died of COVID-19. If it is necessary to transfer a body to a bag, follow Standard Precautions, including additional personal protective equipment (PPE) if splashing of fluids is expected. For transporting a body after the body has been bagged, disinfect the outside of the bag with a product with EPA-approved emerging viral pathogens claimspdf iconexternal icon expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.). Wear disposable nitrile gloves when handling the body bag.
Embalming can be conducted. During embalming, follow Standard Precautions including the use of additional PPE if splashing is expected (e.g. disposable gown, faceshield or goggles and N95 respirator). Wear appropriate respiratory protection if any procedures will generate aerosols or if required for chemicals used in accordance with the manufacturer’s label. Wear heavy-duty gloves over nitrile disposable gloves if there is a risk of cuts, puncture wounds, or other injuries that break the skin. Additional information on how to safely conduct aerosol-generating procedures is in the CDC’s Postmortem Guidance. Cleaning should be conducted in accordance with manufacturer’s instructions. Products with EPA-approved emerging viral pathogens are expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time).
After cleaning and removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water is not available. Soap and water should be used if the hands are visibly soiled.
Decedents with COVID-19 can be buried or cremated, but check for any additional state and local requirements that may dictate the handling and disposition of the remains of individuals who have died of certain infectious diseases.
"
What should I do if my family member died from COVID-19 while overseas?,"When a U.S. citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to assist U.S. citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassy closest to or in the country where the U.S. citizen died can provide assistance.
"
My family member died from COVID-19 while overseas. What are the requirements for returning the body to the United States?,"CDC does not require an autopsy before the remains of a person who died overseas are returned to the United States. Depending on the circumstances surrounding the death, some countries may require an autopsy. Sources of support to the family include the local consulate or embassy, travel insurance provider, tour operator, faith-based and aid organizations, and the deceased’s employer. There likely will need to be an official identification of the body and official documents issued by the consular office.
CDC requirements for importing human remains depend upon if the body has been embalmed, cremated, or if the person died from a quarantinable communicable disease.
At this time, COVID-19 is a quarantinable communicable disease in the United States and the remains must meet the standards for importation found in 42 Code of Federal Regulations Part 71.55 and may be cleared, released, and authorized for entry into the United States only under the following conditions:

The remains are cremated; OR
The remains are properly embalmed and placed in a hermetically sealed casket; OR
The remains are accompanied by a permit issued by the CDC Director. The CDC permit (if applicable) must accompany the human remains at all times during shipment.

Permits for the importation of the remains of a person known or suspected to have died from a quarantinable communicable disease may be obtained through the CDC Division of Global Migration and Quarantine by calling the CDC Emergency Operations Center at 770-488-7100 or emailing dgmqpolicyoffice@cdc.gov.



Please see CDC’s guidance for additional information.
"
What is CDC doing about COVID-19?,"CDC is working with other federal partners in a whole-of-government response. This is an emerging, rapidly evolving situation and CDC will continue to provide updated information as it becomes available. CDC works 24/7 to protect people’s health. More information about CDC’s response to COVID-19 is available online.
"
Can I get COVID-19 from my pets or other animals?,"There is no reason at this time to think that any animals, including pets, in the United States might be a source of infection with this new coronavirus that causes COVID-19. To date, CDC has not received any reports of pets or other animals becoming sick with COVID-19 in the United States.
Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak.
However, since animals can spread other diseases to people, it’s always a good idea to practice healthy habits around pets and other animals, such as washing your hands and maintaining good hygiene. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife, visit CDC’s Healthy Pets, Healthy People website.
"
Do I need to get my pet tested for COVID-19?,"No. At this time, testing of animals for COVID-19 is not recommended.
"
Can animals carry the virus that causes COVID-19 on their skin or fur?,"At this time, there is no evidence that the virus that causes COVID-19 can spread to people from the skin or fur of pets.
Talk to your veterinarian about the best ways to care for your pet.
"
Should I avoid contact with pets or other animals if I am sick with COVID-19?,"You should restrict contact with pets and other animals while you are sick with COVID-19, just like you would around other people. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the new coronavirus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food. If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets.
"
Are pets from a shelter safe to adopt?,"There is no reason to think that any animals, including shelter pets, in the United States might be a source of COVID-19. 
"
What about imported animals or animal products?,"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. The U.S. Centers for Disease Control and Prevention (CDC), the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States. CDC regulates animals and animal products that pose a threat to human health, USDA regulates animals and animal products that pose a threat to agriculture; and FWS regulates importation of endangered species and wildlife that can harm the health and welfare of humans, the interests of agriculture, horticulture, or forestry, and the welfare and survival of wildlife resources.
"
Can I travel to the United States with dogs or import dogs into the United States during the COVID-19 outbreak?,"Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from China, a high-risk country for rabies.
"
"What precautions should be taken for animals that have recently been imported from outside the United States (for example, by shelters, rescues, or as personal pets)?","Imported animals will need to meet CDC and USDA requirements for entering the United States. At this time, there is no evidence that companion animals, including pets and service animals, can spread COVID-19. As with any animal introduced to a new environment, animals recently imported should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. Call your local veterinary clinic before bringing the animal into the clinic and let them know that the animal was recently imported from another country.
This is a rapidly evolving situation and information will be updated as it becomes available.
"
What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19) is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold."
What is coronavirus disease 2019 (COVID-19)?,"Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. There are many types of human coronaviruses, including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. Current symptoms reported for patients with COVID-19 have included mild to severe respiratory illness with fever, cough, and difficulty breathing."
How can I prevent COVID-19?,The best way to prevent illness is to avoid being exposed to the virus. CDC recommends everyday preventive actions to help prevent the spread of respiratory diseases. Learn how to protect yourself and others from coronavirus. Learn more about using hand sanitizer safely. Learn how to wash your hands to prevent the spread of coronavirus and other illnesses.
Should I wear a face covering or face mask when I go out in public?,"CDC recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the coronavirus. The purpose of wearing cloth face coverings in public is to slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others."
What treatments are available for COVID-19?,"People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. If you experience a medical emergency such as trouble breathing, call 911 and let the operator know you may have COVID-19. For severe illness, treatment should include care to support vital organ functions. Currently there are no FDA-approved drugs specifically for the treatment of COVID-19. Researchers are studying new drugs, and drugs that are already approved for other health conditions, as possible treatments for COVID-19. The FDA is working with drug manufacturers, researchers, and other partners to accelerate the development process for COVID-19 treatments. CDC has more information for health care providers about these potential treatments. Never take a prescription medicine or drug if it is not prescribed for you by your doctor for your health condition."
Can disinfectant sprays or wipes be used on my skin to prevent spread of COVID-19?,"No. Always follow the instructions on household cleaners. Do not use disinfect sprays or wipes on your skin because it may cause skin and eye irritation. Disinfectant sprays or wipes are not intended for use on humans or animals. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. View the current list of products that meet EPA’s criteria for use against SARS-CoV-2, the cause of COVID-19."
"Where can I buy hand sanitizer? If I can’t find it in the store, can I make my own?","Many retail stores and pharmacies sell hand sanitizers. However, we understand that many stores have run out of hand sanitizers and they may be difficult to find. To help increase the availability of hand sanitizers, the FDA has issued guidance for the temporary preparation of alcohol-based hand sanitizers by some companies and pharmacies during the public health emergency posed by COVID-19. The FDA does not recommend that consumers make their own hand sanitizer. If made incorrectly, hand sanitizer can be ineffective, and there have been reports of skin burns from homemade hand sanitizer. The agency lacks verifiable information on the methods being used to prepare hand sanitizer at home and whether they are safe for use on human skin. See the A for Consumers: Hand Sanitizers and COVID-19 for more information."
What do I do if I get a rash or other reaction to hand sanitizer?,"Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s MedWatch Adverse Event Reporting program: Complete and submit the report online; or Download and complete the form, then submit it via fax at 1-800-FDA-0178. Include as much information as you can about the product that caused the reaction, including the product name, the manufacturer, and the lot number (if available). See Safely Using Hand Sanitizer for more information."
Products online claim to prevent or treat COVID-19. Where can I report websites selling fraudulent medical products?,"There are currently no FDA-approved vaccines or drug products for COVID-19. You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail."
How do I know if I’m an essential worker during the COVID-19 pandemic?,"Critical infrastructure industries, including many FDA-regulated industries such as food, drugs, and medical equipment, have a special responsibility in these times to continue operations. On March 19, 2020, the Department of Homeland Security (DHS) Cybersecurity & Infrastructure Agency (CISA) issued guidance on defining essential workers. This guidance offers an initial baseline for governments and industry to use when identifying key groups of employees during COVID-19 response. This guidance is not binding and serves as a starting point for local and state governments. View more frequently asked questions from CIS"
Who should I contact with questions about essential employees or FDA-regulated products traveling through areas with curfews and restrictions because of the coronavirus?,"If you are experiencing issues with your supply chain, delivery of goods, or business continuity, please contact: CIS"
What is a biological medical product or a biologic?,"Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues."
Are there any vaccines or other medical products to prevent COVID-19?,"At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19). The FDA is working with vaccine developers and other researchers and manufacturers to help expedite the development and availability of medical products such as vaccines, antibodies, and drugs to prevent COVID-19. Read more about what FDA is doing to mitigate the effects of COVID-19."
Does COVID-19 present a risk to the safety of the nation’s blood supply?,"In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus."
"Can SARS-CoV-2, the virus that causes COVID-19, be transmitted by blood transfusion?","In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus."
"What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19?","Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. For example, blood donors must be in good health and have a normal temperature on the day of donation. Donors are instructed to contact the donor center if they become ill after donation, so that their blood or plasma will not be used. Even when a donor develops COVID-19 after donation, however, there have been no cases of COVID-19 linked to donor blood or products made from blood. FDA has provided additional information to blood establishments on its website."
Why aren’t blood centers testing donors for SARS-CoV-2?,"At this time, the FDA does not recommend using laboratory tests to screen blood. Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate."
Is it safe for me to donate blood during the coronavirus pandemic?,"If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment. One way to make a difference during a public health emergency is to donate blood if you are able. AABB: www.aabb.org; +1.301.907.6977 America’s Blood Centers: www.americasblood.org American Red Cross: www.redcrossblood.org; +1.800.RED CROSS (+1.800.733.2767) Armed Services Blood Program: www.militaryblood.dod.mil; +1.703.681.8024"
"Can COVID-19 be transmitted through human cells, tissues, or cellular and tissue-based products (HCT/Ps)?","Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps). The potential for transmission of COVID-19 by HCT/Ps is unknown at this time. There have been no reported cases of transmission of COVID-19 via HCT/Ps. Routine screening measures are already in place for evaluating clinical evidence of infection in HCT/P donors. Read more…"
What is convalescent plasma and why is it being investigated to treat COVID-19?,"Convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel coronavirus disease, COVID-19, caused by the virus SARS-CoV-2. COVID-19 patients develop antibodies in the blood against the virus. Antibodies are proteins that might help fight the infection. Convalescent plasma is being investigated for the treatment of COVID-19 because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from COVID-19. Further investigation is still necessary to determine if convalescent plasma might shorten the duration of illness, reduce morbidity, or prevent death associated with COVID-19."
"I recently recovered from COVID-19, can I donate convalescent plasma?","COVID-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID-19 documented by a laboratory test and meet other laboratory criteria. Individuals must have fully recovered from COVID-19, with complete resolution of symptoms for at least 14 days before donation of convalescent plasma. You can ask your local blood center if there are options to donate convalescent plasma in your area. FDA included contact information for blood organizations in its March 19, 2020 statement on blood donations."
Are there any FDA-approved drug products or medicines to treat COVID-19?,"At this time, there are no FDA-approved drug products to treat COVID-19. The FDA is working with drug manufacturers and investigational new drug sponsors to expedite the development and availability of COVID-19 treatments. Read more about FDA’s actions to address the novel coronavirus with medical countermeasures. Researchers are studying new drugs and drugs that are already approved for other health conditions as possible treatments for COVID-19. CDC has more information for health care providers about these potential treatments."
Are antibiotics effective in preventing or treating COVID-19?,"No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat coronavirus disease (COVID-19), because COVID-19 is caused by a virus, not bacteria. Some patients with COVID-19 may also develop a bacterial infection, such as pneumonia. In that case, a health care professional may treat the bacterial infection with an antibiotic."
Will Miracle Mineral Solution (MMS) cure COVID-19?,"No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. The solution, when mixed, develops into a dangerous bleach which has caused serious and potentially life-threatening side effects. For more information, see: FDA warns consumers about the dangerous and potentially life threatening side effects of Miracle Mineral Solution and Danger: Don’t Drink Miracle Mineral Solution or Similar Products."
Should I take hydroxychloroquine or chloroquine to prevent or treat coronavirus or COVID-19?,No. Hydroxychloroquine and chloroquine are available in the United States by prescription only for the prevention or treatment of malaria and certain inflammatory conditions such as lupus. The FDA is working closely with other government agencies and academic centers to determine whether chloroquine can be used to prevent COVID-19 or treat patients with mild-to-moderate COVID-19. More information about the clinical trials studying these medicines can be found at ClinicalTrials.gov.
Is the chloroquine phosphate used to treat disease in aquarium fish the same as the chloroquine phosphate that FDA has issued an emergency use authorization for as a COVID-19 treatment for humans?,"No. Products marketed for veterinary use, “for research only,” or otherwise not for human consumption have not been evaluated for safety and should never be used by humans. You should not take any form of chloroquine unless it has been prescribed to you by a licensed healthcare provider. Chloroquine products also should not be given to pets or livestock, unless prescribed by a veterinarian."
What is the FDA doing to protect people from fraudulent COVID-19 products?,"We have established a cross-agency task force dedicated to closely monitoring for fraudulent COVID-19 products. We have reached out to major retailers to ask for their help in monitoring online marketplaces for fraudulent COVID-19 products. Products sold are subject to FDA investigation and potential enforcement action if they claim to prevent, diagnose, treat, or cure COVID-19 and have not demonstrated safety and effectiveness for that intended use. The task force has already worked with retailers to remove dozens of these types of product listings online. The FDA and the Federal Trade Commission (FTC) issue warning letters to companies that violate federal law and pose significant risks to patient health by selling unapproved products with fraudulent claims to treat or prevent COVID-19. View the warning letters for more information."
Are there going to be drug shortages due to drug manufacturer facility closures in China?,"The FDA has been closely monitoring the supply chain with the expectation that the COVID-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S. We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly and mitigate the impact to U.S. patients and health care professionals when a potential disruption or shortage is identified. Find real-time information about drug shortages. Learn more in our drug shortages frequently asked questions."
Am I at risk for COVID-19 from taking FDA-approved drugs made in China?,"Currently, there is no evidence to support transmission of COVID-19 associated with imported goods, including food and drugs for humans and pets. There have not been any cases of COVID-19 in the United States associated with imported goods."
Who should I contact with drug-related questions?,"If you have additional questions, call FDA’s Division of Drug Information at (855) 543-3784 or email us at druginfo@fda.hhs.gov."
Is there a test for COVID-19?,"There are tests created by private companies, but currently there is no FDA-approved or cleared test to diagnose or detect COVID-19 because the virus that causes COVID-19 is new. Therefore, the FDA has issued several Emergency Use Authorizations (EUAs) for the use of new diagnostic tests to detect the SARS-CoV-2 virus, which causes COVID-19. During public health emergencies declared under section 564 of the FD&C Act, the FDA is able to issue EUAs when certain criteria are met that allows for the use and distribution of potentially life-saving medical products to diagnose, treat, or prevent the disease, which can include diagnostic tests."
How are people tested for COVID-19?,"To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals. Currently, a health care professional swabbing the back of the nasal cavity through the nostril is the preferred choice. Alternatively, the health care professional could may swab the back of your throat, or for patients with symptoms of COVID-19 the sample could may be collected by swabbing the inside of the front of the nose. Depending on, among other things, the type of swab used, a health care professional may collect the sample, or you may be able to collect the sample yourself at the collection site under the supervision of health care personnel."
Are there any tests that I can purchase to test myself at home for COVID-19?,"At this time, the FDA has not authorized any test that is available to purchase for testing yourself at home for COVID-19. The FDA sees the public health value in expanding the availability of COVID-19 testing through safe and accurate tests that may include home collection, and we are actively working with test developers on this goal. You can find listings of tests that have received an Emergency Use Authorization (EUA) as well as labs and manufacturers that have notified FDA as set forth in the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019."
When will other diagnostic tests for COVID-19 be authorized?,"More than 100 companies have requested and received the FDA-developed Emergency Use Authorization (EUA) template for diagnostics for this outbreak. This template will help to expedite the development and authorization of other diagnostic products under EUAs. The templates for these diagnostic testing EUA submissions are now available on our website. If you need additional information, please refer to the FAon Diagnostic Testing for SARS-CoV-2."
Should I purchase personal protective equipment such as facemasks or N95 respirators for me and my family?,"No. Surgical masks and N95s need to be reserved for use by healthcare workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. The cloth face coverings recommended by CDC are not surgical masks or N95 respirators. Surgical masks and N95s are critical supplies that must continue to be reserved for healthcare workers and other medical first responders, as recommended by CDC."
"Is there a shortage of personal protective equipment (PPE) such as gloves, masks, and N95 respirators or of ventilators?","The FDA has been working closely with PPE and ventilator manufacturers to understand their supply capabilities during this pandemic. The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing. The FDA issued new guidance to give ventilator manufacturers and non-medical device manufacturers more flexibility to start making new ventilators and parts. We adjusted our screening of PPE and medical devices at U.S. ports of entry to expedite imports of legitimate products into the U.S. With CDC we took action to make more respirators, including certain N95s, available to health care personnel for use in health care settings. The FDA encourages manufacturers and healthcare facilities to report any supply disruptions to the device shortages mailbox at deviceshortages@fda.hhs.gov."
Can 3D printing be used to make PPE?,"Personal protective equipment (PPE) includes protective clothing, gowns, gloves, face shields, goggles, face masks, and respirators or other equipment designed to protect the wearer from injury or the spread of infection or illness. While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators. The CDC has recommendations for how to optimize the supply of face masks. Find more information in the FDA guidance."
I built a DIY ventilator using instructions I found on the internet. May I sell it?,"DIY ventilator makers may request that their product be added to the Emergency Use Authorization (EUA) that FDA issued on March 24, 2020, to legally market the product in the U.S. Instructions on how to do so, and the criteria for ventilator safety, performance and labeling, may be found in the Letter of Authorization and Appendix A for the EUA related to ventilators, anesthesia gas machines modified for use as ventilators, positive pressure breathing devices modified for use as ventilators, ventilator tubing connectors, and ventilator accessories."
Who should I contact if I have questions about medical devices or need more information?,"Please contact the FDA’s Center for Devices and Radiological Health (CDRH)’s Division of Industry and Consumer Education (DICE) for general questions and information. If you need additional information completing the diagnostic EUA template or wish to consider use of an alternative specimen type, please contact the Division of Microbiology Devices at (301) 348-1778 or email CDRH-EUA-Templates@fda.hhs.gov. If you have questions about the EUA for personal respiratory protective devices, including N95 respirators, please email CDRH-NonDiagnosticEUA-Templates@fda.hhs.gov."
Will there be food shortages?,"There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Food production and manufacturing are widely dispersed throughout the U.S. and there are currently no widespread disruptions reported in the supply chain. FDA is closely monitoring the food supply chain for any shortages in collaboration with industry and our federal and state partners. We are in regular contact with food manufacturers and grocery stores."
Will there be animal food shortages?,"There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Animal food production and manufacturing are widely dispersed throughout the United States and no widespread disruptions have been reported in the supply chain."
Are food products produced in the United States or other countries affected by COVID-19 a risk for the spread of COVID-19?,There is no evidence to suggest that food produced in the United States or imported from countries affected by COVID-19 can transmit COVID-19.
"Can I get the coronavirus from food, food packaging, or food containers and preparation area?","Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19. Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to follow the 4 key steps of food safety—clean, separate, cook, and chill. If you are concerned about contamination of food or food packaging, wash your hands after handling food packaging, after removing food from the packaging, before you prepare food for eating and before you eat. Consumers can follow CDC guidelines on frequent hand washing with soap and water for at least 20 seconds; and frequent cleaning and disinfecting of surfaces."
Is the U.S. food supply safe?,"Currently there is no evidence of food or food packaging being associated with transmission of COVID-19. Unlike foodborne gastrointestinal (GI) viruses like norovirus and hepatitis A that often make people ill through contaminated food, SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness and not gastrointestinal illness, and foodborne exposure to this virus is not known to be a route of transmission. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. That’s why it’s always critical to follow the 4 key steps of food safety—clean, separate, cook, and chill."
Is the U.S. animal food supply safe?,"Currently there is no evidence of animal food or food packaging being associated with transmission of COVID-19. SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness. Foodborne exposure to this virus is not known to be a route of transmission."
Can I get COVID-19 from a food worker handling my food?,"Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. Anyone handling, preparing and serving food should always follow safe food handling procedures, such as washing hands and surfaces often."
Should food workers who are ill stay home?,"CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° F or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). Employees should notify their supervisor and stay home if they are sick. We recommend that businesses review CDC’s interim guidance for businesses and employers for planning and responding to coronavirus disease. Also see the FDA’s Retail Food Protection: Employee Health and Personal Hygiene Handbook."
"Should food facilities (grocery stores, manufacturing facilities, restaurants, etc.) perform any special cleaning or sanitation procedures for COVID-19?","CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. Use the cleaning agents that are usually used in these areas and follow the directions on the label. CDC does not recommend any additional disinfection beyond routine cleaning at this time. View the current list of products that meet EPA’s criteria for use against SARS-CoV-2, the cause of COVID-19. Restaurants and retail food establishments are regulated at the state and local level. State, local, and tribal regulators use the Food Code published by the FDA to develop or update their own food safety rules. Generally, FDA-regulated food manufacturers are required to maintain clean facilities, including, as appropriate, clean and sanitized food contact surfaces, and to have food safety plans in place. Food safety plans include a hazards analysis and risk-based preventive controls and include procedures for maintaining clean and sanitized facilities and food contact surfaces. See: FSMA Final Rule for Preventive Controls for Human Food."
Can animals or pets get novel coronavirus disease (COVID-19)?,"According to the Centers for Disease Control and Prevention (CDC), there is no scientific evidence indicating that any animals in the United States, including pets, can spread COVID-19 or that they might be a source of infection in the United States. To date, there have been no reports of pets or other animals becoming sick with COVID-19. The FDA is aware that more than one dog has tested positive for the virus that causes COVID-19, based on information from the Hong Kong Agriculture, Fisheries & Conservation Department. There is no evidence that companion animals, including pets, can spread COVID-19 or that they might be a source of infection in the United States."
"If I have COVID-19, can I infect my pet? Can I get COVID-19 from my pet?","There is currently no evidence that pets can spread COVID-19 or that they might be a source of infection in the United States. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the new coronavirus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food. If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets. Global health organizations are monitoring the outbreak’s potential impact on animal health and will notify the public if new information becomes available."
What should I do if my pet or other animals seem ill and I think it might be COVID-19?,"To date, there have not been any reports of pets or other animals becoming sick with COVID-19 in the United States. If your animal appears to be ill, you should contact your veterinarian just like you would for any health concern. In order to ensure the veterinary clinic is prepared for your pet, you should call ahead and arrange the hospital or clinic visit. If you are sick with COVID-19 or suspect you might be sick with COVID-19, a family member or friend from outside your household may bring the animal to a veterinary hospital or clinic. Regardless of who takes your pet to the veterinarian, follow the animal hospital’s advice on proper safety precautions prior to arrival. Showing up to a veterinarian’s office unannounced could put staff or other pet owners at risk, even if you are not showing symptoms or have resolving symptoms."
"If my pet has been exposed to someone who has COVID-19, do they need to be quarantined? If so, for how long?","Although there is no evidence that pets can get sick from COVID-19 or spread the virus that causes COVID-19, you may wish to quarantine your pet for the same amount of time as people are being asked to quarantine – 14 days."
Are there any approved products that can prevent or treat COVID-19 in animals?,"No. Under the Federal Food, Drug, and Cosmetic (FD&C) Act, “articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals” are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of COVID-19 in animals. The U.S. Department of Agriculture’s (USDA) Animal and Plant Health Inspection Service (APHIS) Center for Veterinary Biologics (CVB) regulates veterinary biologics, including vaccines, diagnostic kits, and other products of biological origin. Similarly, APHIS CVB has not licensed any products to treat or prevent COVID-19 in animals. The FDA has taken action against fraudulent products intended to prevent or cure COVID-19. The public can help safeguard human and animal health by reporting any products claiming to do so to FDA-COVID-19-Fraudulent-Products@fda.hhs.gov or 1-888-INFO-FDA (1-888-463-6332)."
"Is it true that animals, like dogs, cats, and cattle, get their own types of coronavirus?","Yes. Coronaviruses are a large family of viruses. Some coronaviruses cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans. For example, bovine coronavirus causes diarrhea in young calves, and pregnant cows are routinely vaccinated to help prevent infection in calves. This vaccine is only licensed for use in cattle for bovine coronavirus and is not licensed to prevent COVID-19 in cattle or other species, including humans. Dogs can get a respiratory coronavirus, which is part of the complex of viruses and bacteria associated with canine infectious respiratory disease, commonly known as “kennel cough.” While this virus is highly contagious among both domestic and wild dogs, it is not transmitted to other animal species or humans. Most strains of feline enteric coronavirus, a gastrointestinal form, are fought off by a cat’s immune system without causing disease. However, in a small proportion of these cats, the virus can cause feline infectious peritonitis (FIP), a disease that is almost always fatal. Other species, like horses, turkeys, chickens, and swine, can contract their own species-specific strains of coronavirus but, like the other strains mentioned above, they are not known to be transmissible to humans. More information is available in AVMA’s fact sheet about coronaviruses in domestic species."
